Rep,TrapID,TrtCode,Treatment,Site,Crop,MD,Count,Male,Female,EndDate,StartDate,Comment,,,
2,221,E,,VistaVerde,Pis,Yes,25,24,,5/8/2018,4/30/2018,,,,
2,222,B,,VistaVerde,Pis,Yes,10,10,,5/8/2018,4/30/2018,,,,
2,223,D,,VistaVerde,Pis,Yes,14,14,,5/8/2018,4/30/2018,,,,
2,224,A,,VistaVerde,Pis,Yes,5,5,,5/8/2018,4/30/2018,,,,
2,225,C,,VistaVerde,Pis,Yes,37,30,,5/8/2018,4/30/2018,,,,
3,231,C,,VistaVerde,Pis,Yes,23,19,,5/8/2018,4/30/2018,,,,
3,232,E,,VistaVerde,Pis,Yes,20,18,,5/8/2018,4/30/2018,,,,
3,233,D,,VistaVerde,Pis,Yes,,,,5/8/2018,4/30/2018,Trap was damaged,,,
3,234,B,,VistaVerde,Pis,Yes,23,14,,5/8/2018,4/30/2018,,,,
3,235,A,,VistaVerde,Pis,Yes,5,5,,5/8/2018,4/30/2018,,,,
4,241,E,,VistaVerde,Pis,Yes,19,16,,5/8/2018,4/30/2018,,,,
4,242,D,,VistaVerde,Pis,Yes,9,9,,5/8/2018,4/30/2018,,,,
4,243,B,,VistaVerde,Pis,Yes,12,11,,5/8/2018,4/30/2018,,,,
4,244,C,,VistaVerde,Pis,Yes,37,31,,5/8/2018,4/30/2018,,,,
4,245,A,,VistaVerde,Pis,Yes,6,6,,5/8/2018,4/30/2018,,,,
5,251,C,,VistaVerde,Pis,Yes,0,0,,5/8/2018,4/30/2018,,,,
5,252,A,,VistaVerde,Pis,Yes,1,1,,5/8/2018,4/30/2018,,,,
5,253,B,,VistaVerde,Pis,Yes,22,19,,5/8/2018,4/30/2018,,,,
5,254,D,,VistaVerde,Pis,Yes,5,5,,5/8/2018,4/30/2018,,,,
5,255,E,,VistaVerde,Pis,Yes,14,13,,5/8/2018,4/30/2018,,,,
6,261,A,,VistaVerde,Pis,Yes,4,4,,5/8/2018,4/30/2018,,,,
6,262,E,,VistaVerde,Pis,Yes,18,16,,5/8/2018,4/30/2018,,,,
6,263,B,,VistaVerde,Pis,Yes,23,20,,5/8/2018,4/30/2018,,,,
6,264,C,,VistaVerde,Pis,Yes,40,30,,5/8/2018,4/30/2018,,,,
6,265,D,,VistaVerde,Pis,Yes,14,14,,5/8/2018,4/30/2018,,,,
7,271,B,,VistaVerde,Pis,Yes,27,20,,5/8/2018,4/30/2018,,,,
7,272,A,,VistaVerde,Pis,Yes,7,7,,5/8/2018,4/30/2018,,,,
7,273,C,,VistaVerde,Pis,Yes,5,5,,5/8/2018,4/30/2018,,,,
7,274,E,,VistaVerde,Pis,Yes,18,12,,5/8/2018,4/30/2018,,,,
7,275,D,,VistaVerde,Pis,Yes,8,8,,5/8/2018,4/30/2018,,,,
8,281,A,,VistaVerde,Pis,Yes,11,11,,5/8/2018,4/30/2018,,,,
8,282,B,,VistaVerde,Pis,Yes,34,30,,5/8/2018,4/30/2018,,,,
8,283,D,,VistaVerde,Pis,Yes,,,,5/8/2018,4/30/2018,Trap missing,,,
8,284,C,,VistaVerde,Pis,Yes,,,,5/8/2018,4/30/2018,Trap on ground,,,
8,285,E,,VistaVerde,Pis,Yes,17,17,,5/8/2018,4/30/2018,,,,
1,211,B,,VistaVerde,Pis,Yes,7,6,,5/15/2018,5/8/2018,,,,
1,212,A,,VistaVerde,Pis,Yes,0,0,,5/15/2018,5/8/2018,,,,
1,213,D,,VistaVerde,Pis,Yes,5,5,,5/15/2018,5/8/2018,,,,
1,214,C,,VistaVerde,Pis,Yes,21,18,,5/15/2018,5/8/2018,,,,
1,215,E,,VistaVerde,Pis,Yes,7,5,,5/15/2018,5/8/2018,,,,
2,221,E,,VistaVerde,Pis,Yes,7,1,,5/15/2018,5/8/2018,,,,
2,222,B,,VistaVerde,Pis,Yes,5,4,,5/15/2018,5/8/2018,,,,
2,223,D,,VistaVerde,Pis,Yes,4,2,,5/15/2018,5/8/2018,Back half of one moth missing. Unable to identify sex.,,,
2,224,A,,VistaVerde,Pis,Yes,0,0,,5/15/2018,5/8/2018,,,,
2,225,C,,VistaVerde,Pis,Yes,15,11,,5/15/2018,5/8/2018,,,,
3,231,C,,VistaVerde,Pis,Yes,17,14,,5/15/2018,5/8/2018,,,,
3,232,E,,VistaVerde,Pis,Yes,11,5,,5/15/2018,5/8/2018,,,,
3,233,D,,VistaVerde,Pis,Yes,,,,5/15/2018,5/8/2018,No liner,,,
3,234,B,,VistaVerde,Pis,Yes,6,1,,5/15/2018,5/8/2018,,,,
3,235,A,,VistaVerde,Pis,Yes,1,1,,5/15/2018,5/8/2018,,,,
4,241,E,,VistaVerde,Pis,Yes,8,3,,5/15/2018,5/8/2018,,,,
4,242,D,,VistaVerde,Pis,Yes,6,4,,5/15/2018,5/8/2018,,,,
4,243,B,,VistaVerde,Pis,Yes,7,4,,5/15/2018,5/8/2018,,,,
4,244,C,,VistaVerde,Pis,Yes,18,13,,5/15/2018,5/8/2018,,,,
4,245,A,,VistaVerde,Pis,Yes,1,1,,5/15/2018,5/8/2018,,,,
5,251,C,,VistaVerde,Pis,Yes,10,5,,5/15/2018,5/8/2018,,,,
5,252,A,,VistaVerde,Pis,Yes,0,0,,5/15/2018,5/8/2018,,,,
5,253,B,,VistaVerde,Pis,Yes,11,6,,5/15/2018,5/8/2018,,,,
5,254,D,,VistaVerde,Pis,Yes,4,2,,5/15/2018,5/8/2018,,,,
5,255,E,,VistaVerde,Pis,Yes,7,5,,5/15/2018,5/8/2018,,,,
6,261,A,,VistaVerde,Pis,Yes,0,0,,5/15/2018,5/8/2018,,,,
6,262,E,,VistaVerde,Pis,Yes,7,6,,5/15/2018,5/8/2018,,,,
6,263,B,,VistaVerde,Pis,Yes,5,3,,5/15/2018,5/8/2018,,,,
6,264,C,,VistaVerde,Pis,Yes,12,10,,5/15/2018,5/8/2018,,,,
6,265,D,,VistaVerde,Pis,Yes,4,2,,5/15/2018,5/8/2018,,,,
7,271,B,,VistaVerde,Pis,Yes,10,5,,5/15/2018,5/8/2018,,,,
7,272,A,,VistaVerde,Pis,Yes,0,0,,5/15/2018,5/8/2018,,,,
7,273,C,,VistaVerde,Pis,Yes,3,2,,5/15/2018,5/8/2018,"No PPO Pouch, back half of one moth missing",,,
7,274,E,,VistaVerde,Pis,Yes,2,1,,5/15/2018,5/8/2018,,,,
7,275,D,,VistaVerde,Pis,Yes,5,1,,5/15/2018,5/8/2018,,,,
8,281,A,,VistaVerde,Pis,Yes,1,1,,5/15/2018,5/8/2018,,,,
8,282,B,,VistaVerde,Pis,Yes,20,16,,5/15/2018,5/8/2018,,,,
8,283,D,,VistaVerde,Pis,Yes,,,,5/15/2018,5/8/2018,No Trap,,,
8,284,C,,VistaVerde,Pis,Yes,14,9,,5/15/2018,5/8/2018,,,,
8,285,E,,VistaVerde,Pis,Yes,3,0,,5/15/2018,5/8/2018,,,,
1,211,B,,VistaVerde,Pis,Yes,2,2,,5/23/2018,5/15/2018,,,,
1,212,A,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
1,213,D,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
1,214,C,,VistaVerde,Pis,Yes,5,5,,5/23/2018,5/15/2018,,,,
1,215,E,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
2,221,E,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
2,222,B,,VistaVerde,Pis,Yes,2,1,,5/23/2018,5/15/2018,,,,
2,223,D,,VistaVerde,Pis,Yes,2,1,,5/23/2018,5/15/2018,,,,
2,224,A,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
2,225,C,,VistaVerde,Pis,Yes,3,2,,5/23/2018,5/15/2018,,,,
3,231,C,,VistaVerde,Pis,Yes,4,4,,5/23/2018,5/15/2018,,,,
3,232,E,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
3,233,D,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
3,234,B,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
3,235,A,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
4,241,E,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
4,242,D,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
4,243,B,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
4,244,C,,VistaVerde,Pis,Yes,5,4,,5/23/2018,5/15/2018,,,,
4,245,A,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
5,251,C,,VistaVerde,Pis,Yes,5,3,,5/23/2018,5/15/2018,,,,
5,252,A,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
5,253,B,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
5,254,D,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
5,255,E,,VistaVerde,Pis,Yes,2,2,,5/23/2018,5/15/2018,,,,
6,261,A,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
6,262,E,,VistaVerde,Pis,Yes,1,1,,5/23/2018,5/15/2018,,,,
6,263,B,,VistaVerde,Pis,Yes,3,2,,5/23/2018,5/15/2018,,,,
6,264,C,,VistaVerde,Pis,Yes,6,4,,5/23/2018,5/15/2018,,,,
6,265,D,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
7,271,B,,VistaVerde,Pis,Yes,2,1,,5/23/2018,5/15/2018,,,,
7,272,A,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
7,273,C,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
7,274,E,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
7,275,D,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
8,281,A,,VistaVerde,Pis,Yes,0,0,,5/23/2018,5/15/2018,,,,
8,282,B,,VistaVerde,Pis,Yes,2,1,,5/23/2018,5/15/2018,,,,
8,283,D,,VistaVerde,Pis,Yes,3,3,,5/23/2018,5/15/2018,Has PPO instead of StopNOW. TrtCode set to what it was rather than what it ought to have been,,,
8,284,C,,VistaVerde,Pis,Yes,3,2,,5/23/2018,5/15/2018,,,,
8,285,E,,VistaVerde,Pis,Yes,2,2,,5/23/2018,5/15/2018,,,,
1,211,B,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
1,212,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
1,213,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
1,214,C,,VistaVerde,Pis,Yes,1,,,5/31/2018,5/23/2018,No liner retrieved,,,
1,215,E,,VistaVerde,Pis,Yes,1,,,5/31/2018,5/23/2018,No liner retrieved,,,
2,221,E,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
2,222,B,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
2,223,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
2,224,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
2,225,C,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
3,231,C,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
3,232,E,,VistaVerde,Pis,Yes,1,,,5/31/2018,5/23/2018,No liner retrieved,,,
3,233,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
3,234,B,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
3,235,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
4,241,E,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
4,242,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
4,243,B,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
4,244,C,,VistaVerde,Pis,Yes,2,2,,5/31/2018,5/23/2018,,,,
4,245,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
5,251,C,,VistaVerde,Pis,Yes,1,,,5/31/2018,5/23/2018,No liner retrieved,,,
5,252,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
5,253,B,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
5,254,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
5,255,E,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
6,261,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
6,262,E,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
6,263,B,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
6,264,C,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
6,265,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
7,271,B,,VistaVerde,Pis,Yes,2,2,,5/31/2018,5/23/2018,,,,
7,272,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
7,273,C,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
7,274,E,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
7,275,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
8,281,A,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
8,282,B,,VistaVerde,Pis,Yes,1,,,5/31/2018,5/23/2018,No liner retrieved,,,
8,283,D,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
8,284,C,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
8,285,E,,VistaVerde,Pis,Yes,0,0,,5/31/2018,5/23/2018,,,,
1,211,B,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
1,212,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
1,213,D,,VistaVerde,Pis,Yes,1,0,,6/12/2018,5/31/2018,,,,
1,214,C,,VistaVerde,Pis,Yes,5,3,,6/12/2018,5/31/2018,,,,
1,215,E,,VistaVerde,Pis,Yes,3,1,,6/12/2018,5/31/2018,,,,
2,221,E,,VistaVerde,Pis,Yes,2,0,,6/12/2018,5/31/2018,,,,
2,222,B,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
2,223,D,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
2,224,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
2,225,C,,VistaVerde,Pis,Yes,3,3,,6/12/2018,5/31/2018,,,,
3,231,C,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
3,232,E,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
3,233,D,,VistaVerde,Pis,Yes,1,0,,6/12/2018,5/31/2018,,,,
3,234,B,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
3,235,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
4,241,E,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
4,242,D,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
4,243,B,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
4,244,C,,VistaVerde,Pis,Yes,4,3,,6/12/2018,5/31/2018,,,,
4,245,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
5,251,C,,VistaVerde,Pis,Yes,3,2,,6/12/2018,5/31/2018,,,,
5,252,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
5,253,B,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
5,254,D,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
5,255,E,,VistaVerde,Pis,Yes,2,1,,6/12/2018,5/31/2018,,,,
6,261,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
6,262,E,,VistaVerde,Pis,Yes,1,1,,6/12/2018,5/31/2018,,,,
6,263,B,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
6,264,C,,VistaVerde,Pis,Yes,2,2,,6/12/2018,5/31/2018,,,,
6,265,D,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
7,271,B,,VistaVerde,Pis,Yes,2,1,,6/12/2018,5/31/2018,,,,
7,272,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
7,273,C,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
7,274,E,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
7,275,D,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
8,281,A,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
8,282,B,,VistaVerde,Pis,Yes,1,1,,6/12/2018,5/31/2018,,,,
8,283,D,,VistaVerde,Pis,Yes,1,0,,6/12/2018,5/31/2018,,,,
8,284,C,,VistaVerde,Pis,Yes,5,2,,6/12/2018,5/31/2018,,,,
8,285,E,,VistaVerde,Pis,Yes,0,0,,6/12/2018,5/31/2018,,,,
