Rep,TrapID,TrtCode,Treatment,Site,Crop,MD,Count,Male,Female,EndDate,StartDate,Comment,,,,
6,465,D,StopNow,Kettleman,Pis,No,7,6,,5/17/2018,5/4/2018,,,,,
7,471,D,StopNow,Kettleman,Pis,No,5,4,,5/17/2018,5/4/2018,,,,,
7,472,E,StopNowBiolure,Kettleman,Pis,No,5,3,,5/17/2018,5/4/2018,,,,,
7,473,C,PPOBiolure,Kettleman,Pis,No,13,11,,5/17/2018,5/4/2018,,,,,
7,474,A,Biolure,Kettleman,Pis,No,1,1,,5/17/2018,5/4/2018,,,,,
7,475,B,PPO,Kettleman,Pis,No,12,9,,5/17/2018,5/4/2018,,,,,
8,481,B,PPO,Kettleman,Pis,No,13,8,,5/17/2018,5/4/2018,,,,,
8,482,A,Biolure,Kettleman,Pis,No,3,3,,5/17/2018,5/4/2018,,,,,
8,483,E,StopNowBiolure,Kettleman,Pis,No,8,5,,5/17/2018,5/4/2018,,,,,
8,484,D,StopNow,Kettleman,Pis,No,4,4,,5/17/2018,5/4/2018,,,,,
8,485,C,PPOBiolure,Kettleman,Pis,No,15,12,,5/17/2018,5/4/2018,,,,,
1,411,E,StopNowBiolure,Kettleman,Pis,No,2,1,,5/24/2018,5/17/2018,,,,,
1,412,B,PPO,Kettleman,Pis,No,4,4,,5/24/2018,5/17/2018,,,,,
1,413,C,PPOBiolure,Kettleman,Pis,No,6,5,,5/24/2018,5/17/2018,,,,,
1,414,D,StopNow,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
1,415,A,Biolure,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
2,421,C,PPOBiolure,Kettleman,Pis,No,6,6,,5/24/2018,5/17/2018,,,,,
2,422,E,StopNowBiolure,Kettleman,Pis,No,1,1,,5/24/2018,5/17/2018,,,,,
2,423,D,StopNow,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
2,424,B,PPO,Kettleman,Pis,No,1,1,,5/24/2018,5/17/2018,,,,,
2,425,A,Biolure,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
3,431,B,PPO,Kettleman,Pis,No,3,3,,5/24/2018,5/17/2018,,,,,
3,432,E,StopNowBiolure,Kettleman,Pis,No,1,1,,5/24/2018,5/17/2018,,,,,
3,433,C,PPOBiolure,Kettleman,Pis,No,5,4,,5/24/2018,5/17/2018,,,,,
3,434,A,Biolure,Kettleman,Pis,No,2,2,,5/24/2018,5/17/2018,,,,,
3,435,D,StopNow,Kettleman,Pis,No,2,2,,5/24/2018,5/17/2018,,,,,
4,441,C,PPOBiolure,Kettleman,Pis,No,8,8,,5/24/2018,5/17/2018,,,,,
4,442,D,StopNow,Kettleman,Pis,No,2,2,,5/24/2018,5/17/2018,,,,,
4,443,E,StopNowBiolure,Kettleman,Pis,No,3,3,,5/24/2018,5/17/2018,,,,,
4,444,A,Biolure,Kettleman,Pis,No,1,1,,5/24/2018,5/17/2018,,,,,
4,445,B,PPO,Kettleman,Pis,No,4,4,,5/24/2018,5/17/2018,,,,,
5,451,D,StopNow,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
5,452,B,PPO,Kettleman,Pis,No,5,4,,5/24/2018,5/17/2018,,,,,
5,453,E,StopNowBiolure,Kettleman,Pis,No,2,2,,5/24/2018,5/17/2018,,,,,
5,454,C,PPOBiolure,Kettleman,Pis,No,7,7,,5/24/2018,5/17/2018,,,,,
5,455,A,Biolure,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
6,461,C,PPOBiolure,Kettleman,Pis,No,14,13,,5/24/2018,5/17/2018,,,,,
6,462,B,PPO,Kettleman,Pis,No,8,6,,5/24/2018,5/17/2018,,,,,
6,463,E,StopNowBiolure,Kettleman,Pis,No,4,4,,5/24/2018,5/17/2018,,,,,
6,464,A,Biolure,Kettleman,Pis,No,1,1,,5/24/2018,5/17/2018,,,,,
6,465,D,StopNow,Kettleman,Pis,No,1,1,,5/24/2018,5/17/2018,,,,,
7,471,D,StopNow,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
7,472,E,StopNowBiolure,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
7,473,C,PPOBiolure,Kettleman,Pis,No,16,14,,5/24/2018,5/17/2018,,,,,
7,474,A,Biolure,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
7,475,B,PPO,Kettleman,Pis,No,4,4,,5/24/2018,5/17/2018,,,,,
8,481,B,PPO,Kettleman,Pis,No,9,8,,5/24/2018,5/17/2018,,,,,
8,482,A,Biolure,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
8,483,E,StopNowBiolure,Kettleman,Pis,No,3,3,,5/24/2018,5/17/2018,,,,,
8,484,D,StopNow,Kettleman,Pis,No,0,0,,5/24/2018,5/17/2018,,,,,
8,485,C,PPOBiolure,Kettleman,Pis,No,11,10,,5/24/2018,5/17/2018,,,,,
1,411,E,StopNowBiolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
1,412,B,PPO,Kettleman,Pis,No,2,1,,5/29/2018,5/24/2018,,,,,
1,413,C,PPOBiolure,Kettleman,Pis,No,5,5,,5/29/2018,5/24/2018,,,,,
1,414,D,StopNow,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
1,415,A,Biolure,Kettleman,Pis,No,1,1,,5/29/2018,5/24/2018,,,,,
2,421,C,PPOBiolure,Kettleman,Pis,No,6,4,,5/29/2018,5/24/2018,,,,,
2,422,E,StopNowBiolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
2,423,D,StopNow,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
2,424,B,PPO,Kettleman,Pis,No,3,3,,5/29/2018,5/24/2018,,,,,
2,425,A,Biolure,Kettleman,Pis,No,3,3,,5/29/2018,5/24/2018,,,,,
3,431,B,PPO,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
3,432,E,StopNowBiolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
3,433,C,PPOBiolure,Kettleman,Pis,No,8,7,,5/29/2018,5/24/2018,,,,,
3,434,A,Biolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
3,435,D,StopNow,Kettleman,Pis,No,1,1,,5/29/2018,5/24/2018,,,,,
4,441,C,PPOBiolure,Kettleman,Pis,No,7,5,,5/29/2018,5/24/2018,,,,,
4,442,D,StopNow,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
4,443,E,StopNowBiolure,Kettleman,Pis,No,1,1,,5/29/2018,5/24/2018,,,,,
4,444,A,Biolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
4,445,B,PPO,Kettleman,Pis,No,1,1,,5/29/2018,5/24/2018,,,,,
5,451,D,StopNow,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
5,452,B,PPO,Kettleman,Pis,No,3,3,,5/29/2018,5/24/2018,,,,,
5,453,E,StopNowBiolure,Kettleman,Pis,No,3,3,,5/29/2018,5/24/2018,,,,,
5,454,C,PPOBiolure,Kettleman,Pis,No,7,6,,5/29/2018,5/24/2018,,,,,
5,455,A,Biolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
6,461,C,PPOBiolure,Kettleman,Pis,No,5,3,,5/29/2018,5/24/2018,,,,,
6,462,B,PPO,Kettleman,Pis,No,2,2,,5/29/2018,5/24/2018,,,,,
6,463,E,StopNowBiolure,Kettleman,Pis,No,5,5,,5/29/2018,5/24/2018,,,,,
6,464,A,Biolure,Kettleman,Pis,No,1,1,,5/29/2018,5/24/2018,,,,,
6,465,D,StopNow,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
7,471,D,StopNow,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
7,472,E,StopNowBiolure,Kettleman,Pis,No,2,2,,5/29/2018,5/24/2018,,,,,
7,473,C,PPOBiolure,Kettleman,Pis,No,6,4,,5/29/2018,5/24/2018,,,,,
7,474,A,Biolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
7,475,B,PPO,Kettleman,Pis,No,3,2,,5/29/2018,5/24/2018,,,,,
8,481,B,PPO,Kettleman,Pis,No,7,7,,5/29/2018,5/24/2018,,,,,
8,482,A,Biolure,Kettleman,Pis,No,0,0,,5/29/2018,5/24/2018,,,,,
8,483,E,StopNowBiolure,Kettleman,Pis,No,4,4,,5/29/2018,5/24/2018,,,,,
8,484,D,StopNow,Kettleman,Pis,No,3,3,,5/29/2018,5/24/2018,,,,,
8,485,C,PPOBiolure,Kettleman,Pis,No,9,7,,5/29/2018,5/24/2018,,,,,
1,411,E,StopNowBiolure,Kettleman,Pis,No,1,1,,6/7/2018,5/29/2018,,,,,
1,412,B,PPO,Kettleman,Pis,No,7,5,,6/7/2018,5/29/2018,,,,,
1,413,C,PPOBiolure,Kettleman,Pis,No,9,7,,6/7/2018,5/29/2018,,,,,
1,414,D,StopNow,Kettleman,Pis,No,1,0,,6/7/2018,5/29/2018,,,,,
1,415,A,Biolure,Kettleman,Pis,No,2,2,,6/7/2018,5/29/2018,,,,,
2,421,C,PPOBiolure,Kettleman,Pis,No,7,6,,6/7/2018,5/29/2018,,,,,
2,422,E,StopNowBiolure,Kettleman,Pis,No,3,3,,6/7/2018,5/29/2018,,,,,
2,423,D,StopNow,Kettleman,Pis,No,1,1,,6/7/2018,5/29/2018,,,,,
2,424,B,PPO,Kettleman,Pis,No,5,4,,6/7/2018,5/29/2018,,,,,
2,425,A,Biolure,Kettleman,Pis,No,3,3,,6/7/2018,5/29/2018,,,,,
3,431,B,PPO,Kettleman,Pis,No,10,6,,6/7/2018,5/29/2018,,,,,
3,432,E,StopNowBiolure,Kettleman,Pis,No,4,3,,6/7/2018,5/29/2018,,,,,
3,433,C,PPOBiolure,Kettleman,Pis,No,15,,,6/7/2018,5/29/2018,"Liner missing, unable to determine sex data",,,,
3,434,A,Biolure,Kettleman,Pis,No,0,0,,6/7/2018,5/29/2018,,,,,
3,435,D,StopNow,Kettleman,Pis,No,2,1,,6/7/2018,5/29/2018,,,,,
4,441,C,PPOBiolure,Kettleman,Pis,No,13,9,,6/7/2018,5/29/2018,,,,,
4,442,D,StopNow,Kettleman,Pis,No,4,2,,6/7/2018,5/29/2018,,,,,
4,443,E,StopNowBiolure,Kettleman,Pis,No,5,4,,6/7/2018,5/29/2018,,,,,
4,444,A,Biolure,Kettleman,Pis,No,3,3,,6/7/2018,5/29/2018,,,,,
4,445,B,PPO,Kettleman,Pis,No,8,6,,6/7/2018,5/29/2018,,,,,
5,451,D,StopNow,Kettleman,Pis,No,1,1,,6/7/2018,5/29/2018,,,,,
5,452,B,PPO,Kettleman,Pis,No,11,8,,6/7/2018,5/29/2018,,,,,
5,453,E,StopNowBiolure,Kettleman,Pis,No,13,9,,6/7/2018,5/29/2018,,,,,
5,454,C,PPOBiolure,Kettleman,Pis,No,19,13,,6/7/2018,5/29/2018,,,,,
5,455,A,Biolure,Kettleman,Pis,No,4,4,,6/7/2018,5/29/2018,,,,,
6,461,C,PPOBiolure,Kettleman,Pis,No,16,8,,6/7/2018,5/29/2018,,,,,
6,462,B,PPO,Kettleman,Pis,No,7,1,,6/7/2018,5/29/2018,,,,,
6,463,E,StopNowBiolure,Kettleman,Pis,No,10,6,,6/7/2018,5/29/2018,,,,,
6,464,A,Biolure,Kettleman,Pis,No,2,2,,6/7/2018,5/29/2018,,,,,
6,465,D,StopNow,Kettleman,Pis,No,8,5,,6/7/2018,5/29/2018,,,,,
7,471,D,StopNow,Kettleman,Pis,No,2,2,,6/7/2018,5/29/2018,,,,,
7,472,E,StopNowBiolure,Kettleman,Pis,No,11,9,,6/7/2018,5/29/2018,,,,,
7,473,C,PPOBiolure,Kettleman,Pis,No,27,18,,6/7/2018,5/29/2018,,,,,
7,474,A,Biolure,Kettleman,Pis,No,0,0,,6/7/2018,5/29/2018,,,,,
7,475,B,PPO,Kettleman,Pis,No,12,7,,6/7/2018,5/29/2018,,,,,
8,481,B,PPO,Kettleman,Pis,No,20,13,,6/7/2018,5/29/2018,,,,,
8,482,A,Biolure,Kettleman,Pis,No,2,2,,6/7/2018,5/29/2018,,,,,
8,483,E,StopNowBiolure,Kettleman,Pis,No,4,3,,6/7/2018,5/29/2018,,,,,
8,484,D,StopNow,Kettleman,Pis,No,10,4,,6/7/2018,5/29/2018,,,,,
8,485,C,PPOBiolure,Kettleman,Pis,No,25,17,,6/7/2018,5/29/2018,,,,,
