TrtID,TrtCode,Treatment,Site,Crop,MD,Rep,Trap,SiteID,Week,Count,Date,Days
5,E,StopNowCombo,Kettleman,Alm,No,3,331,3,24,0,06/14/2017,7
5,E,StopNowCombo,Kettleman,Alm,No,4,341,3,24,7,06/14/2017,7
5,E,StopNowCombo,Kettleman,Alm,No,5,352,3,24,3,06/14/2017,7
5,E,StopNowCombo,Kettleman,Alm,No,6,363,3,24,4,06/14/2017,7
5,E,StopNowCombo,Kettleman,Alm,No,7,374,3,24,3,06/14/2017,7
5,E,StopNowCombo,Kettleman,Alm,No,8,384,3,24,10,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,1,414,4,24,14,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,2,422,4,24,6,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,3,432,4,24,8,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,4,445,4,24,3,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,5,455,4,24,9,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,6,465,4,24,12,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,7,474,4,24,9,06/14/2017,7
1,A,NowBiolure,Kettleman,Pis,No,8,481,4,24,11,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,1,413,4,24,2,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,2,423,4,24,2,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,3,431,4,24,4,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,4,443,4,24,11,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,5,452,4,24,1,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,6,464,4,24,4,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,7,475,4,24,9,06/14/2017,7
2,B,Ppo,Kettleman,Pis,No,8,482,4,24,6,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,1,411,4,24,6,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,2,424,4,24,8,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,3,433,4,24,10,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,4,442,4,24,9,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,5,454,4,24,7,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,6,463,4,24,7,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,7,472,4,24,6,06/14/2017,7
3,C,PpoCombo,Kettleman,Pis,No,8,483,4,24,14,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,1,415,4,24,1,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,2,421,4,24,1,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,3,434,4,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,4,444,4,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,5,451,4,24,1,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,6,462,4,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,7,471,4,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Pis,No,8,484,4,24,2,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,1,412,4,24,1,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,2,425,4,24,12,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,3,435,4,24,3,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,4,441,4,24,1,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,5,453,4,24,3,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,6,461,4,24,3,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,7,473,4,24,6,06/14/2017,7
5,E,StopNowCombo,Kettleman,Pis,No,8,485,4,24,11,06/14/2017,7
1,A,NowBiolure,VistaVerde,Alm,Yes,1,115,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Alm,Yes,2,121,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Alm,Yes,3,131,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Alm,Yes,4,145,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Alm,Yes,5,151,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Alm,Yes,6,163,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Alm,Yes,7,175,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Alm,Yes,8,181,1,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,24,5,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,24,1,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,24,3,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,24,4,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,5,155,1,24,4,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,6,162,1,24,1,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,7,174,1,24,4,06/15/2017,6
2,B,Ppo,VistaVerde,Alm,Yes,8,182,1,24,1,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,24,13,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,24,9,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,24,4,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,24,5,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,5,152,1,24,1,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,6,164,1,24,8,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,7,173,1,24,5,06/15/2017,6
3,C,PpoCombo,VistaVerde,Alm,Yes,8,183,1,24,6,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,1,112,1,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,3,132,1,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,5,154,1,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,6,165,1,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,7,171,1,24,1,06/15/2017,6
4,D,StopNow,VistaVerde,Alm,Yes,8,185,1,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,4,144,1,24,1,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,5,153,1,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,6,161,1,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,7,172,1,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,8,184,1,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,1,214,2,24,1,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,2,221,2,24,1,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,3,233,2,24,1,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,4,245,2,24,1,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,5,255,2,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,6,265,2,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,7,273,2,24,0,06/15/2017,6
1,A,NowBiolure,VistaVerde,Pis,Yes,8,285,2,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,1,212,2,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,2,222,2,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,3,232,2,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,4,243,2,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,5,252,2,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,6,264,2,24,1,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,7,272,2,24,0,06/15/2017,6
2,B,Ppo,VistaVerde,Pis,Yes,8,283,2,24,0,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,1,213,2,24,0,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,2,225,2,24,0,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,3,231,2,24,1,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,4,241,2,24,0,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,5,254,2,24,3,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,6,263,2,24,1,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,7,271,2,24,0,06/15/2017,6
3,C,PpoCombo,VistaVerde,Pis,Yes,8,284,2,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,1,211,2,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,2,223,2,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,3,234,2,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,4,242,2,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,5,251,2,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,6,262,2,24,1,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,7,274,2,24,0,06/15/2017,6
4,D,StopNow,VistaVerde,Pis,Yes,8,281,2,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,1,215,2,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,2,224,2,24,2,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,3,235,2,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,4,244,2,24,1,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,5,253,2,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,6,261,2,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,7,275,2,24,0,06/15/2017,6
5,E,StopNowCombo,VistaVerde,Pis,Yes,8,282,2,24,0,06/15/2017,6
1,A,NowBiolure,Kettleman,Alm,No,1,314,3,25,5,06/22/2017,8
1,A,NowBiolure,Kettleman,Alm,No,2,324,3,25,1,06/22/2017,8
1,A,NowBiolure,Kettleman,Alm,No,3,332,3,25,2,06/22/2017,8
1,A,NowBiolure,Kettleman,Alm,No,4,343,3,25,11,06/22/2017,8
1,A,NowBiolure,Kettleman,Alm,No,5,355,3,25,4,06/22/2017,8
1,A,NowBiolure,Kettleman,Alm,No,6,361,3,25,1,06/22/2017,8
1,A,NowBiolure,Kettleman,Alm,No,7,371,3,25,6,06/22/2017,8
1,A,NowBiolure,Kettleman,Alm,No,8,381,3,25,21,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,1,315,3,25,36,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,2,322,3,25,30,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,3,333,3,25,30,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,4,345,3,25,34,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,5,351,3,25,31,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,6,362,3,25,15,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,7,375,3,25,35,06/22/2017,8
2,B,Ppo,Kettleman,Alm,No,8,382,3,25,17,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,1,311,3,25,59,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,2,325,3,25,3,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,3,334,3,25,24,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,4,344,3,25,33,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,5,354,3,25,85,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,6,364,3,25,55,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,7,372,3,25,45,06/22/2017,8
3,C,PpoCombo,Kettleman,Alm,No,8,383,3,25,29,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,1,312,3,25,2,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,2,323,3,25,2,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,3,335,3,25,3,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,4,342,3,25,7,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,5,353,3,25,7,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,6,365,3,25,5,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,7,373,3,25,0,06/22/2017,8
4,D,StopNow,Kettleman,Alm,No,8,385,3,25,2,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,1,313,3,25,8,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,2,321,3,25,7,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,3,331,3,25,4,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,4,341,3,25,13,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,5,352,3,25,14,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,6,363,3,25,6,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,7,374,3,25,16,06/22/2017,8
5,E,StopNowCombo,Kettleman,Alm,No,8,384,3,25,0,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,1,414,4,25,6,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,2,422,4,25,2,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,3,432,4,25,1,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,4,445,4,25,1,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,5,455,4,25,8,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,6,465,4,25,5,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,7,474,4,25,7,06/22/2017,8
1,A,NowBiolure,Kettleman,Pis,No,8,481,4,25,6,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,1,413,4,25,8,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,2,423,4,25,8,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,3,431,4,25,14,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,4,443,4,25,14,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,5,452,4,25,0,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,6,464,4,25,9,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,7,475,4,25,23,06/22/2017,8
2,B,Ppo,Kettleman,Pis,No,8,482,4,25,2,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,1,411,4,25,6,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,2,424,4,25,7,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,3,433,4,25,16,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,4,442,4,25,22,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,5,454,4,25,11,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,6,463,4,25,14,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,7,472,4,25,12,06/22/2017,8
3,C,PpoCombo,Kettleman,Pis,No,8,483,4,25,29,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,1,415,4,25,2,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,2,421,4,25,5,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,3,434,4,25,7,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,4,444,4,25,1,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,5,451,4,25,2,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,6,462,4,25,4,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,7,471,4,25,0,06/22/2017,8
4,D,StopNow,Kettleman,Pis,No,8,484,4,25,5,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,1,412,4,25,7,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,2,425,4,25,9,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,3,435,4,25,5,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,4,441,4,25,6,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,5,453,4,25,7,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,6,461,4,25,8,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,7,473,4,25,7,06/22/2017,8
5,E,StopNowCombo,Kettleman,Pis,No,8,485,4,25,16,06/22/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,1,115,1,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,2,121,1,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,3,131,1,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,4,145,1,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,5,151,1,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,6,163,1,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,7,175,1,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Alm,Yes,8,181,1,25,0,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,25,9,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,25,7,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,25,15,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,25,10,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,5,155,1,25,3,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,6,162,1,25,15,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,7,174,1,25,7,06/23/2017,8
2,B,Ppo,VistaVerde,Alm,Yes,8,182,1,25,5,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,25,10,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,25,19,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,25,11,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,25,6,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,5,152,1,25,23,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,6,164,1,25,20,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,7,173,1,25,16,06/23/2017,8
3,C,PpoCombo,VistaVerde,Alm,Yes,8,183,1,25,11,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,1,112,1,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,25,2,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,3,132,1,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,5,154,1,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,6,165,1,25,2,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,7,171,1,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Alm,Yes,8,185,1,25,2,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,25,2,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,25,15,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,25,3,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,4,144,1,25,6,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,5,153,1,25,4,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,6,161,1,25,2,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,7,172,1,25,3,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Alm,Yes,8,184,1,25,2,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,1,214,2,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,2,221,2,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,3,233,2,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,4,245,2,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,5,255,2,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,6,265,2,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,7,273,2,25,0,06/23/2017,8
1,A,NowBiolure,VistaVerde,Pis,Yes,8,285,2,25,0,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,1,212,2,25,2,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,2,222,2,25,1,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,3,232,2,25,0,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,4,243,2,25,2,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,5,252,2,25,3,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,6,264,2,25,0,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,7,272,2,25,1,06/23/2017,8
2,B,Ppo,VistaVerde,Pis,Yes,8,283,2,25,5,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,1,213,2,25,6,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,2,225,2,25,0,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,3,231,2,25,2,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,4,241,2,25,3,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,5,254,2,25,2,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,6,263,2,25,2,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,7,271,2,25,0,06/23/2017,8
3,C,PpoCombo,VistaVerde,Pis,Yes,8,284,2,25,1,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,1,211,2,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,2,223,2,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,3,234,2,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,4,242,2,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,5,251,2,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,6,262,2,25,0,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,7,274,2,25,1,06/23/2017,8
4,D,StopNow,VistaVerde,Pis,Yes,8,281,2,25,2,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,1,215,2,25,1,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,2,224,2,25,0,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,3,235,2,25,0,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,4,244,2,25,0,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,5,253,2,25,0,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,6,261,2,25,1,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,7,275,2,25,0,06/23/2017,8
5,E,StopNowCombo,VistaVerde,Pis,Yes,8,282,2,25,1,06/23/2017,8
1,A,NowBiolure,Kettleman,Alm,No,1,314,3,26,1,06/28/2017,6
1,A,NowBiolure,Kettleman,Alm,No,2,324,3,26,0,06/28/2017,6
1,A,NowBiolure,Kettleman,Alm,No,3,332,3,26,2,06/28/2017,6
1,A,NowBiolure,Kettleman,Alm,No,4,343,3,26,2,06/28/2017,6
