"Crop","MD","Treatment","Rep","Trap","nObs","Total"
"Pis","No","PpoCombo","6",463,14,217
"Pis","No","PpoCombo","7",472,14,216
"Pis","No","PpoCombo","8",483,14,330
"Pis","No","StopNow","1",415,12,38
"Pis","No","StopNow","2",421,14,64
"Pis","No","StopNow","3",434,14,53
"Pis","No","StopNow","4",444,14,83
"Pis","No","StopNow","5",451,14,52
"Pis","No","StopNow","6",462,14,72
"Pis","No","StopNow","7",471,14,39
"Pis","No","StopNow","8",484,14,103
"Pis","No","StopNowCombo","1",412,14,221
"Pis","No","StopNowCombo","2",425,14,176
"Pis","No","StopNowCombo","3",435,14,131
"Pis","No","StopNowCombo","4",441,13,98
"Pis","No","StopNowCombo","5",453,14,110
"Pis","No","StopNowCombo","6",461,14,220
"Pis","No","StopNowCombo","7",473,14,147
"Pis","No","StopNowCombo","8",485,14,201
"Pis","Yes","NowBiolure","1",214,13,6
"Pis","Yes","NowBiolure","2",221,13,7
"Pis","Yes","NowBiolure","3",233,13,5
"Pis","Yes","NowBiolure","4",245,13,5
"Pis","Yes","NowBiolure","5",255,13,5
"Pis","Yes","NowBiolure","6",265,13,5
"Pis","Yes","NowBiolure","7",273,13,3
"Pis","Yes","NowBiolure","8",285,13,3
"Pis","Yes","Ppo","1",212,13,64
"Pis","Yes","Ppo","2",222,13,138
"Pis","Yes","Ppo","3",232,13,72
"Pis","Yes","Ppo","4",243,13,55
"Pis","Yes","Ppo","5",252,13,84
"Pis","Yes","Ppo","6",264,13,69
"Pis","Yes","Ppo","7",272,13,52
"Pis","Yes","Ppo","8",283,13,134
"Pis","Yes","PpoCombo","1",213,13,226
"Pis","Yes","PpoCombo","2",225,13,248
"Pis","Yes","PpoCombo","3",231,13,153
"Pis","Yes","PpoCombo","4",241,13,130
"Pis","Yes","PpoCombo","5",254,13,159
"Pis","Yes","PpoCombo","6",263,13,196
"Pis","Yes","PpoCombo","7",271,13,149
"Pis","Yes","PpoCombo","8",284,13,139
"Pis","Yes","StopNow","1",211,13,31
"Pis","Yes","StopNow","2",223,13,45
"Pis","Yes","StopNow","3",234,13,16
"Pis","Yes","StopNow","4",242,13,38
"Pis","Yes","StopNow","5",251,13,12
"Pis","Yes","StopNow","6",262,13,25
"Pis","Yes","StopNow","7",274,13,11
"Pis","Yes","StopNow","8",281,12,20
"Pis","Yes","StopNowCombo","1",215,13,81
"Pis","Yes","StopNowCombo","2",224,13,70
"Pis","Yes","StopNowCombo","3",235,13,47
"Pis","Yes","StopNowCombo","4",244,13,45
"Pis","Yes","StopNowCombo","5",253,13,47
"Pis","Yes","StopNowCombo","6",261,13,40
"Pis","Yes","StopNowCombo","7",275,13,44
"Pis","Yes","StopNowCombo","8",282,13,46
